Point Name,Code,Northing (Y),Easting (X),Elevation (Z)
E54,Eaahar bihar,2781892.58,486272.661,100.744
E55,Eaahar bihar,2781892.971,486272.517,100.902
E56,Eaahar bihar,2781893.277,486272.339,100.688
E57,Econtour,2781885.128,486287.842,99.08
E58,Econtour,2781883.641,486290.926,99.05
E59,Econtour,2781888.751,486289.051,98.603
E6,Ebuild,2781900.893,486293.675,100.961
E60,Econtour,2781888.378,486289.36,98.542
E61,Econtour,2781888.038,486290.42,98.356
E62,Econtour,2781887.858,486290.913,98.282
E63,Econtour,2781887.541,486291.688,98.189
E64,Econtour,2781887.184,486292.569,98.049
E65,Econtour,2781886.875,486293.249,97.938
E66,Econtour,2781886.456,486294.357,97.737
E67,Econtour,2781886.002,486295.759,97.457
E7,Ebuild,2781907.127,486291.715,99.331
E8,Ebuild,2781901.812,486293.794,98.479
E9,Ebuild,2781903.566,486292.109,98.469
EP,EOPD,2781881.823,486286.2,101.922
F1,FBUILDOFFICE,2781813.748,486264.554,100.026
F10,PARKBOUN,2781814.217,486246.907,99.943
F103,FFENCE,2781807.38,486237.568,100.236
F104,FFENCE,2781804.841,486238.253,100.209
F11,PETROLPUMP,2781815.083,486247.383,99.826
F12,PETROLPUMP,2781815.439,486247.22,99.841
F13,PETROLPUMP,2781815.233,486246.795,99.822
F14,PETROLPUMP,2781815.323,486246.505,99.82
F15,PETROLPUMP,2781814.997,486245.748,99.785
F16,PETROLPUMP,2781814.94,486245.668,99.78
F17,PETROLPUMP,2781814.615,486245.22,99.752
F18,FBUILD0,2781785.653,486227.147,101.323
F19,FBUILD1,2781792.789,486229.39,101.195
F2,FBUILDOFFICE,2781846.409,486266.749,100.284
F20,FBUILD1,2781806.749,486224.196,101.791
F21,FBUILD2,2781824.606,486221.572,99.98
F22,FBUILD3,2781831.322,486220.482,99.858
F23,FBUILD3,2781833.872,486218.058,99.881
F24,FBUILD3,2781835.764,486220.197,99.917
F25,FBUILD3,2781840.601,486215.812,101.124
F26,FBUILD3,2781824.939,486213.639,99.946
F3,FBUILDOFFICE,2781810.714,486262.313,100.852
F4,PARKBOUN,2781812.897,486259.448,99.943
F5,PARKBOUN,2781811.22,486263.444,99.806
F50,FWATER TOWER,2781849.686,486249.897,99.373
F51,FWATER TOWER,2781849.089,486247.527,99.458
F52,FWATER TOWER,2781848.735,486247.225,99.45
F53,FWATER TOWER,2781849.306,486246.22,99.471
F59,FTOWER BOUNDARY,2781837.839,486248.489,98.98
F6,PARKBOUN,2781811.11,486263.679,99.797
F60,FTOWER BOUNDARY,2781838.645,486242.945,98.917
F61,FTOWER BOUNDARY,2781839.423,486237.455,98.764
F62,FTOWER BOUNDARY,2781842.682,486237.124,98.985
F63,FTOWER BOUNDARY,2781847.734,486236.705,98.962
F64,FTOWER BOUNDARY,2781853.669,486236.168,98.738
F7,PARKBOUN,2781814.229,486256.2,99.881
F75,FBUILD BOUNDARY,2781838.371,486223.086,97.568
F76,FBUILD BOUNDARY,2781835.087,486219.656,97.45
F77,FBUILD BOUNDARY,2781831.493,486223.068,97.698
F78,FBUILD BOUNDARY,2781827.609,486226.642,98.075
F79,FNALI,2781832.689,486231.126,98.388
F8,PARKBOUN,2781814.867,486254.641,99.75
F80,FNALI,2781822.592,486234.704,98.945
F81,FNALI,2781819.891,486233.881,99.083
F9,PARKBOUN,2781815.732,486250.117,99.96
F94,FTANK,2781849.948,486249.982,114.381
F95,FTANK,2781849.308,486247.493,114.221
F96,FTANK,2781850.471,486245.274,114.664
F98,FBUILD OFFI,2781814.959,486264.137,100.939
GB1,GBUILD,2781792.624,486227.179,101.29
GB2,GBUILD1,2781811.006,486227.18,101.458
GF1,GFENCE,2781772.228,486246.603,100.212
GF2,GFENCE,2781769.656,486247.341,100.272
GF3,GFENCE,2781784.199,486243.678,100.115
GF4,GFENCE,2781786.884,486243.006,100.072
GF5,GFENCE,2781764.468,486248.672,100.179
GFA1,FARM,2781717.62,486278.49,94.951
GFA2,GFARM,2781712.827,486273.052,95.048
GFA3,GFARM,2781706.363,486277.341,95.106
GFA4,GFARM,2781730.584,486292.888,95.376
GFA5,GFARM,2781748.393,486268.828,95.133
GRARSALA,GRASSALA,2781716.297,486293.653,99.873
GRARSALB,GRASSALA,2781724.154,486311.489,101.724
GWF1,GWIREFENCE,2781759.647,486257.974,99.426
GWF10,GWIREFENCE,2781715.315,486251.582,96.068
GWF2,GWIREFENCE,2781759.647,486257.974,99.426
GWF3,GWIREFENCE,2781756.113,486257.358,98.954
GWF4,GWIREFENCE,2781749.218,486256.449,97.902
GWF5,GWIREFENCE,2781742.608,486255.986,96.854
GWF6,GWIREFENCE,2781737.064,486255.238,97.996
GWF7,GWIREFENCE,2781731.438,486254.371,97.5
GWF8,GWIREFENCE,2781725.789,486253.309,97
GWF9,GWIREFENCE,2781721.445,486252.573,96.613
H100,HBUILD,2781733.444,486381.628,102.015
H101,HBUILD,2781736.496,486383.027,102.042
H102,HBUILD,2781748.972,486388.597,102.395
H103,HBUILD,2781734.997,486370.78,101.172
H104,HBUILD,2781730.554,486380.259,101.508
H105,HBUILD,2781700.341,486356.998,100.068
H106,HBUILD,2781723.316,486349.919,100.197
H107,HBUILD,2781717.119,486351.769,100.304
H136,HBUILD,2781670.996,486358.015,101.054
H137,HBUILD,2781673.936,486345.341,102.652
H72,HBOUD,2781723.155,486393.458,103.925
H73,HBOUD,2781718.793,486397.138,104.068
H74,HBOUD,2781718.56,486397.151,104.072
H75,HBOUD,2781715.927,486396.741,103.998
H76,HBOUD,2781714.386,486396.501,104.066
H77,HBOUD,2781706.678,486395.3,104.496
H78,HBOUD,2781703.549,486394.826,104.296
H79,HBOUD,2781700.683,486394.384,103.538
H80,HBOUD,2781700.576,486394.024,103.488
H81,HBOUD,2781700.592,486394.09,103.583
H82,HBOUD,2781697.587,486394.067,103.256
H83,HBOUD,2781695.931,486394.11,103.74
H84,HBOUD,2781686.796,486392.439,104.444
H85,HBOUD,2781682.11,486392.369,104.767
H86,HBOUD,2781677.936,486391.914,104.253
H87,HBOUD,2781672.511,486390.36,104.427
H88,HBOUD,2781669.926,486389.64,104.173
H89,HBOUD,2781667.249,486388.873,104.274
H90,HBOUD,2781663.113,486387.688,104.808
H91,HBOUD,2781657.546,486386.152,104.518
H92,HCOWFENCE,2781695.858,486381.058,102.443
H93,HCOWFENCE,2781703.44,486382.682,102.257
H94,HCOWFENCE,2781710.959,486383.517,101.923
H95,HCOWFENCE,2781715.333,486384.063,101.911
H96,HCOWFENCE,2781717.607,486387.417,101.914
H97,HCOWFENCE,2781719.737,486390.541,102.446
H98,HBOUND,2781727.288,486393.197,104.269
H99,HBUILD,2781730.527,486380.312,102.503
I19,IBUILD,2781624.477,486339.878,102.597
I20,IBUILD,2781624.903,486338.748,102.595
I21,IBUILD,2781603.669,486335.934,102.805
I22,IBUILD,2781614.377,486336.383,102.875
I23,IBUILD,2781587.141,486326.506,102.567
I24,IBUILD,2781578.024,486323.211,102.826
I25,IBUILD,2781580.436,486316.584,102.608
I26,IBUILD,2781582.976,486309.644,102.365
I27,IBUILD,2781592.378,486276.466,104.946
